CODIGO_REGISTRO;C1INVTOT21;C1CYGTOT21;C1IYGTOT
986436;0;90703;90703
986270;1400000;24792;1424792
146255;0;0;0
986570;1282811;760982;2043793
986581;0;8724;8724
986263;0;1044067;1044067
140735;750;8774;9524
986419;0;45690;45690
986585;0;55850;55850
986237;2640;59483;62123
986543;0;15283;15283
986425;0;40882;40882
986207;0;19500;19500
866897;0;32151;32151
986584;0;35870;35870
140608;0;0;0
986210;0;2500;2500
981805;0;0;0
141713;0;3645;3645
867282;0;0;0
140733;3700;3910;7610
141071;17000;92261;109261
146086;0;0;0
982113;0;348738;348738
865240;125884;57488;183372
142032;0;0;0
865419;0;0;0
982114;0;59409;59409
977977;84763;331866;416629
865710;0;5240;5240
986618;4245;87266;91511
986209;0;64329;64329
986445;0;7465;7465
140699;79375;0;79375
866233;23322;8704;32026
986588;113000;16292;129292
986586;0;212666;212666
146332;0;45073;45073
866691;0;8190;8190
867189;0;58765;58765
986261;1589207;524965;2114172
143436;0;0;0
867407;0;35551;35551
986498;0;45213;45213
986306;0;10717;10717
146532;51500;27560;79060
146177;0;4282;4282
867176;0;227438;227438
867246;800;5518;6318
141620;0;21560;21560
986211;0;1411386;1411386
981902;0;23681;23681
986589;0;791823;791823
975256;0;359446;359446
975224;350000;403481;753481
145932;0;29100;29100
146027;2000;27962;29962
981891;0;1475770;1475770
143622;2110;5037;7147
867560;0;13161;13161
986299;0;11028;11028
986318;0;1067;1067
986553;0;0;0
986489;0;89460;89460
986279;0;8087;8087
986500;0;240536;240536
986231;0;0;0
867232;0;6505;6505
986339;0;0;0
986479;0;41962;41962
986461;0;450;450
867292;0;2900;2900
867009;0;35318;35318
975252;0;60995;60995
986551;0;10765;10765
866318;15600;106603;122203
986601;0;7227;7227
986444;0;531;531
986264;0;18775;18775
141644;1219;11704;12923
986499;69684;11870;81554
973652;767390;74894;842284
986262;0;785146;785146
146283;0;0;0
867529;0;0;0
975044;0;10576;10576
142345;0;4675;4675
986201;0;4140;4140
145947;0;0;0
145353;0;280;280
142792;0;0;0
145331;0;0;0
142138;0;0;0
865613;200;300;500
865760;0;0;0
867313;0;0;0
986196;0;0;0
986617;0;5000;5000
143913;0;0;0
142762;0;195;195
145957;0;0;0
986422;0;6062;6062
143231;0;0;0
986371;0;0;0
986213;0;71211;71211
144165;0;0;0
145658;0;440;440
145999;0;115;115
142077;19266;23630;42896
143703;0;0;0
866125;0;0;0
141695;0;0;0
986511;0;1700;1700
986253;0;0;0
986247;0;0;0
145325;0;0;0
143376;0;0;0
145348;0;220;220
145315;0;0;0
